Class,Pos,"Name (last, first)",Year,Gms,Solo,Asst,Total,TFL,Yds,Sacks,Yds,Int,Yds,ITD,PBU,QBH,FR,Yd,FF,Blk Kick,Safety,Total Check,Diff,PDF,Tkls/Gm,Tm Rank,PDF
So,SS,"Ghee, Patrick",2004,11,38,13,51,0.5,2,0,0,0,0,,1,,2,0,0,0,0,51,0,1,4.6,,1
So,DB,"Swanson, Riley",2004,11,36,13,49,0.0,0,0,0,0,0,,5,,0,0,0,0,0,49,0,5,4.5,,5
So,LB,"Easley, Pierre",2004,9,13,14,27,3.0,5,0,0,0,0,,1,,1,0,0,0,0,27,0,1,3.0,,1
So,DE,"Tucker, Jyles",2004,9,9,9,18,3.0,20,2,19,1,43,,3,,0,0,0,0,0,18,0,4,2.0,,4
So,DT,"Andrews, Bryan",2004,9,11,5,16,1.5,13,1,10,0,0,,0,,0,0,0,0,0,16,0,0,1.8,,0
SO,LB,"Sykes, Napoleon",2004,11,5,1,6,1.0,1,0,0,0,0,,0,,0,0,0,0,0,6,0,0,0.5,,0
SO,FS,"Manfredi, Mickey",2004,5,3,0,3,1.0,1,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.6,,0
So,DE,"Smith, Jamil",2004,8,0,3,3,0.5,1,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.4,,0
SO,WR,"Morton, Nate",2004,10,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,CB,"Edwards, Johnny",2004,11,5,3,8,0.0,0,0,0,0,0,,0,,0,0,0,0,0,8,0,0,0.7,,0
RS,CB,"Mason, Aaron",2004,11,6,0,6,0.0,0,0,0,0,0,,0,,0,0,0,0,0,6,0,0,0.5,,0
RS,TE,"Tereshinski, John",2004,11,3,0,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,1,0
RS,LB,"Adams, James",2004,1,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,1.0,,0
RS,OG,"Brim, Matt",2004,11,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,WR,"Idlette, Willie",2004,10,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,DT,"Jones, Jeromy",2004,7,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,DT,"McKenzie, Aaron",2004,1,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,1.0,,0
Jr,NT,"Scales, Goryal",2004,11,8,13,21,2.5,3,0,0,0,0,,0,,1,0,1,0,0,21,0,0,1.9,,0
Jr,WR,"Anderson, Dominic",2004,11,8,5,13,2.5,15,1,9,0,0,,0,,0,0,0,0,0,13,0,0,1.2,,0
Jr,LB,"Pratt, Jason",2004,10,7,4,11,2.5,9,0,0,0,0,,0,,0,0,0,0,0,11,0,0,1.1,,0
JR,NT,"Stukes, Cori",2004,9,1,8,9,1.5,11,1,11,0,0,,0,,0,0,0,0,0,9,0,0,1.0,,0
Jr,S,"Simmons, Robert",2004,9,2,1,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
JR,P PK,"Plackemeier, Ryan",2004,11,2,0,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
Jr,RB,"Barclay, Chris",2004,11,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
JR,PK,"Wisnosky, Matt",2004,6,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.2,,0
Fr,LB,"Abbate, Jon",2004,11,60,41,101,3.5,13,1,9,1,1,,1,,0,0,2,0,0,101,0,2,9.2,1,2
FR,DE,"Robinson, Matt",2004,11,24,12,36,10.0,35,3,10,1,19,,1,,0,0,1,0,0,36,0,2,3.3,,2
FR,DE,"Thompson, Jeremy",2004,11,8,7,15,3.0,8,1,6,1,0,,1,,0,0,0,2,0,15,0,2,1.4,,2
FR,DT,"Stukes, Zach",2004,11,6,7,13,1.0,4,0.5,3,0,0,,0,,0,0,0,0,0,13,0,0,1.2,,0
Fr,C,"Justice, Steve",2004,11,2,1,3,0.0,0,0,0,0,0,,0,,0,0,0,0,0,3,0,0,0.3,,0
Fr,LS,"Jarvis, Nick",2004,10,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
Sr,FS,"Williams, Quintin",2003,12,60,28,88,4.0,9,0,0,1,44,,5,,3,0,0,0,0,88,0,6,7.3,,6
Sr,OLB,"Brantley, Kellen",2003,12,38,27,65,9.0,55,4,36,1,64,,2,,0,0,2,0,0,65,0,3,5.4,,3
SR,LB,"Williams, Dion",2003,12,43,14,57,4.0,10,0,0,0,0,,2,,1,0,0,0,0,57,0,2,4.8,,2
Sr,DB,"Chukwumah, Obi",2003,12,21,8,29,0.0,0,0,0,0,0,,1,,0,0,1,0,0,29,0,1,2.4,,1
