"","PlayerYear","PlayerPosition","Name","calYear","Games","SoloTackles","AsstTackles","TotalTackles","TacklesForLoss","TFL_Yds","Sacks","Sack_Yds","Int","Int_Yds","IntTD","PassBreakUps","QBHurries","FumbleRecov","FumbleRecov_Yds","ForcedFumbles","BlockedKicks","Safety","Tkls/Gm","TotalCheck","Diff","PDF","Tm Rank","PDF_1"
"71","JR","DE","THOMAS-JACKSON, JULIAN",2016,13,6,6,12,3,22,3,22,0,0,0,1,1,0,0,1,NA,NA,0.923076923076923,12,NA,NA,NA,1
"72","JR","TE","SERIGNE, CAM",2016,12,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2,NA,NA,NA,0
"73","JR","QB","WOLFORD, JOHN",2016,12,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2,NA,NA,NA,0
"74","JR","S","WORTHAM, DESMOND",2016,12,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2,NA,NA,NA,0
"75","JR","DT","LAMOT, ALI",2016,5,1,0,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,0
"76","JR","PK","WEAVER, MIKE",2016,13,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769230769230769,1,NA,NA,NA,0
"77","RS","S","BATES, JESSIE",2016,13,70,30,100,3.5,7,NA,NA,5,158,2,4,1,NA,NA,1,NA,NA,7.69230769230769,100,NA,NA,NA,9
"78","FR","CB","BASSEY, ESSANG",2016,13,16,3,19,1.5,2,0,0,0,0,0,3,0,1,0,1,NA,NA,1.46153846153846,19,NA,NA,NA,3
"79","FR","S","REDD, TRAVEON",2016,11,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,11,NA,NA,NA,0
"80","FR","RB","CARNEY, CADE",2016,10,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2,NA,NA,NA,0
"81","FR","P","MAGGIO, DOM",2016,13,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769230769230769,1,NA,NA,NA,0
"82","FR","LS","DIEMEL, DAYTON",2016,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83","SR","LB","CHUBB, BRANDON",2015,12,52,55,107,8.5,26,0.5,3,0,0,0,2,6,1,0,0,0,0,8.91666666666667,107,0,2,NA,2
"84","SR","LB","WILLIAMS, HUNTER",2015,12,32,28,60,7.5,26,2,13,1,17,NA,0,1,0,0,0,0,0,5,60,0,1,NA,1
"85","SR","DT","HARRIS, TYLOR",2015,12,11,5,16,3.5,15,1.5,10,0,0,0,2,0,0,0,0,1,0,1.33333333333333,16,0,2,NA,2
"86","SO","DE","DUNN, WENDELL",2015,12,18,17,35,7.5,25,1,7,0,0,0,0,0,0,0,1,0,0,2.91666666666667,35,0,0,NA,0
"87","SO","DE","EJIOFOR, DUKE",2015,7,13,15,28,7.5,38,4.5,32,0,0,0,0,2,0,0,0,0,1,4,28,0,0,NA,0
"88","SO","DT","RODNEY, ZEEK",2015,12,7,15,22,2,5,0,0,0,0,0,0,1,0,0,0,0,0,1.83333333333333,22,0,0,NA,0
"89","SO","LB","DAWSON, GRANT",2015,12,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,16,0,0,NA,0
"90","SO","CB","OKONYE, JOSH",2015,12,12,3,15,1.5,8,1,7,0,0,0,0,0,0,0,0,0,0,1.25,15,0,0,NA,0
"91","SO","LB","WILLIAMS, JABOREE",2015,12,6,7,13,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1.08333333333333,13,0,1,NA,1
"92","SO","DE","JACKSON, JULIAN",2015,11,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,4,0,0,NA,0
"93","SO","DB","DAVIS, DEONTE",2015,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,0
"94","SO","CB","DILLON, THOMAS",2015,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,0
"95","SO","QB","WOLFORD, JOHN",2015,11,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,1,NA,NA,NA,0
"96","SO","PK","WEAVER, MIKE",2015,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0
"97","RS","S","GLENN, CAMERON",2015,10,24,14,38,0.5,2,0,0,1,0,0,1,0,0,0,0,0,0,3.8,38,0,2,NA,2
"98","RS","LB","KEMP, DEMETRIUS",2015,12,11,7,18,2,5,0,0,1,7,0,0,1,0,0,0,0,0,1.5,18,0,1,NA,1
"99","RS","DT","STEWART, CHRIS",2015,12,9,6,15,1.5,3,0,0,0,0,0,0,1,0,0,0,0,0,1.25,15,0,0,NA,0
"100","RS","LB","WARY, ZACK",2015,8,7,5,12,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5,12,0,0,NA,0
"101","RS","DT","YARBARY, WILLIE",2015,12,4,7,11,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0.916666666666667,11,0,0,NA,0
"102","RS","LB","MCNEIL, KALIN",2015,69,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0289855072463768,2,0,NA,NA,0
"103","RS","DE","SHAW, RASHAWN",2015,5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.4,2,0,NA,NA,0
"104","RS","OT","HERRON, JUSTIN",2015,12,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,1,NA,NA,NA,0
"105","RS","WR","LEWIS, CORTEZ",2015,12,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,1,NA,NA,NA,0
"106","JR","CB","WATSON, BRAD",2015,12,47,25,72,2.5,10,1,7,2,18,NA,16,0,0,0,1,0,0,6,72,0,18,NA,18
"107","JR","S","JANVION, RYAN",2015,11,36,36,72,1,1,0,0,0,0,0,1,0,0,0,1,NA,NA,6.54545454545455,72,0,1,NA,1
"108","JR","LB","LEE, MARQUEL",2015,12,37,34,71,10,41,3,25,0,0,0,1,1,0,0,0,0,0,5.91666666666667,71,0,1,NA,1
"109","JR","S","BROWN, THOMAS",2015,10,16,8,24,3,14,2,12,0,0,0,1,2,0,0,0,0,0,2.4,24,0,1,NA,1
"110","JR","DT","BANKS, JOSH",2015,9,11,13,24,2,11,1,9,0,0,0,0,3,1,0,0,0,0,2.66666666666667,24,0,0,NA,0
"111","JR","DT","LEWINSON, SHELLDON",2015,8,8,4,12,0.5,4,0.5,4,0,0,0,1,0,0,0,0,0,0,1.5,12,0,1,NA,1
"112","JR","LB","MATTHEWS, TEDDY",2015,12,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,3,0,0,NA,0
